Código,Cantón,Nombre
60101,601,Puntarenas
60102,601,Pitahaya
60103,601,Chomes
60104,601,Lepanto
60105,601,Paquera
60106,601,Manzanillo
60107,601,Guacimal
60108,601,Barranca
60109,601,Monte Verde
60110,601,Isla del Coco
60111,601,Cobano
60112,601,Chacarita
60113,601,Chira
60114,601,Acapulco
60115,601,El Roble
60116,601,Arancibia
60201,602,Espiritu Santo
60202,602,San Juan Grande
60203,602,Macacona
60204,602,San Rafael
60205,602,San Jerónimo
60301,603,Buenos Aires
60302,603,Volcan
60303,603,Potrero Grande
60304,603,Boruca
60305,603,Pilas
60306,603,Colinas
60307,603,Changena
60308,603,Briolley
60309,603,Brunka
60401,604,Miramar
60402,604,La Unión
60403,604,San Isidro
60501,605,Puerto Cortes
60502,605,Palmar
60503,605,Sierpe
60504,605,Bahia Ballena
60505,605,Piedras Blancas
60601,606,Quepos
60602,606,Savegre
60603,606,Naranjito
60701,607,Golfito
60702,607,Puerto Jiménez
60703,607,Guaycara
60704,607,Pavon
60801,608,San Vito
60802,608,Sabalito
60803,608,Aguabuena
60804,608,Limóncito
60805,608,Pittier
60901,609,Parrita
61001,610,Corredor
61002,610,La Cuesta
61003,610,Canoas
61004,610,Laurel
61101,611,Jacó
61102,611,Tarcoles
70101,701,Limón
70102,701,Valle La Estrella
70103,701,Río Blanco
70104,701,Matama
70201,702,Guapiles
70202,702,Jiménez
70203,702,Rita
70204,702,Roxana
70205,702,Cariari
70206,702,Colorado
70301,703,Siquirres
70302,703,Pacuarito
70303,703,Florida
70304,703,Germania
70305,703,Cairo
70306,703,Alegria
70401,704,Bratsi
70402,704,Sixaola
70403,704,Cahuita
70404,704,Telire
70501,705,Matina
70502,705,Battan
70503,705,Carrandi
70601,706,Guácimo
70602,706,Mercedes
70603,706,Pocora
70604,706,Río Jiménez
70605,706,Duacari
